"CpG","proportion"
"cg02041067",0.002
"cg02042698",0.002
"cg02060618",0.002
"cg02063300",0.002
"cg02092323",0.002
"cg02105736",0.002
"cg02200373",0.002
"cg02222242",0.002
"cg02288667",0.002
"cg02291897",0.002
"cg02295369",0.002
"cg02336608",0.002
"cg02378769",0.002
"cg02396917",0.002
"cg02450886",0.002
"cg02451693",0.002
"cg02459151",0.002
"cg02495445",0.002
"cg02496329",0.002
"cg02510708",0.002
"cg02515229",0.002
"cg02534780",0.002
"cg02538330",0.002
"cg02547155",0.002
"cg02547167",0.002
"cg02557525",0.002
"cg02559685",0.002
"cg02563393",0.002
"cg02573613",0.002
"cg02588867",0.002
"cg02602300",0.002
"cg02603022",0.002
"cg02623256",0.002
"cg02629737",0.002
"cg02644889",0.002
"cg02647042",0.002
"cg02660803",0.002
"cg02742990",0.002
"cg02770794",0.002
"cg02794321",0.002
"cg02820194",0.002
"cg02831668",0.002
"cg02836821",0.002
"cg02842540",0.002
"cg02860336",0.002
"cg02868201",0.002
"cg02890812",0.002
"cg02894810",0.002
"cg02904064",0.002
"cg02940028",0.002
"cg02999291",0.002
"cg03025340",0.002
"cg03044250",0.002
"cg03057808",0.002
"cg03061353",0.002
"cg03088756",0.002
"cg03090449",0.002
"cg03151838",0.002
"cg03211244",0.002
"cg03267667",0.002
"cg03269770",0.002
"cg03273606",0.002
"cg03299778",0.002
"cg03310203",0.002
"cg03313909",0.002
"cg03317455",0.002
"cg03319489",0.002
"cg03335173",0.002
"cg03360374",0.002
"cg03369029",0.002
"cg03370682",0.002
"cg03415787",0.002
"cg03493196",0.002
"cg03512439",0.002
"cg03523719",0.002
"cg03558222",0.002
"cg03646188",0.002
"cg03692199",0.002
"cg03744114",0.002
"cg03748858",0.002
"cg03766513",0.002
"cg03790146",0.002
"cg03794916",0.002
"cg03798428",0.002
"cg03810479",0.002
"cg03821767",0.002
"cg03828160",0.002
"cg03845359",0.002
"cg03853295",0.002
"cg03861339",0.002
"cg03905487",0.002
"cg03914201",0.002
"cg03944641",0.002
"cg03960980",0.002
"cg04000549",0.002
"cg04017244",0.002
"cg04143870",0.002
"cg04182474",0.002
"cg04186471",0.002
"cg04221167",0.002
"cg04238548",0.002
"cg04245725",0.002
"cg04290766",0.002
"cg04306089",0.002
"cg04308274",0.002
"cg04341767",0.002
"cg04368919",0.002
"cg04444816",0.002
"cg04480758",0.002
"cg04483797",0.002
"cg04487701",0.002
"cg04489366",0.002
"cg04516011",0.002
"cg04517594",0.002
"cg04557963",0.002
"cg04574552",0.002
"cg04584307",0.002
"cg04586456",0.002
"cg04689087",0.002
"cg04723739",0.002
"cg04754076",0.002
"cg04776537",0.002
"cg04790148",0.002
"cg04872051",0.002
"cg04907664",0.002
"cg04931939",0.002
"cg04985372",0.002
"cg05032903",0.002
"cg05033571",0.002
"cg05034175",0.002
"cg05049545",0.002
"cg05093677",0.002
"cg05127178",0.002
"cg05129588",0.002
"cg05129695",0.002
"cg05130895",0.002
"cg05142680",0.002
"cg05152051",0.002
"cg05152874",0.002
"cg05159604",0.002
"cg05169062",0.002
"cg05184682",0.002
"cg05224202",0.002
"cg05239824",0.002
"cg05261276",0.002
"cg05307865",0.002
"cg05308351",0.002
"cg05310530",0.002
"cg05313317",0.002
"cg05321038",0.002
"cg05334140",0.002
"cg05418443",0.002
"cg05438832",0.002
"cg05468654",0.002
"cg05476522",0.002
"cg05493242",0.002
"cg05494459",0.002
"cg05521689",0.002
"cg05534333",0.002
"cg05551009",0.002
"cg05551578",0.002
"cg05566296",0.002
"cg05574878",0.002
"cg05596796",0.002
"cg05633597",0.002
"cg05644929",0.002
"cg05669887",0.002
"cg05705520",0.002
"cg05707218",0.002
"cg05716738",0.002
"cg05734041",0.002
"cg05735850",0.002
"cg05793108",0.002
"cg05842986",0.002
"cg05889642",0.002
"cg05915897",0.002
"cg05930514",0.002
"cg05972899",0.002
"cg05999377",0.002
"cg06042004",0.002
"cg06046085",0.002
"cg06065678",0.002
"cg06069996",0.002
"cg06104959",0.002
"cg06106988",0.002
"cg06124711",0.002
"cg06144999",0.002
"cg06145357",0.002
"cg06152434",0.002
"cg06157561",0.002
"cg06172626",0.002
"cg06192796",0.002
"cg06217046",0.002
"cg06253229",0.002
"cg06307153",0.002
"cg06313930",0.002
"cg06340713",0.002
"cg06350796",0.002
"cg06393239",0.002
"cg06399500",0.002
"cg06408533",0.002
"cg06437303",0.002
"cg06451170",0.002
"cg06455206",0.002
"cg06495980",0.002
"cg06506080",0.002
"cg06522219",0.002
"cg06561451",0.002
"cg06623468",0.002
"cg06624712",0.002
"cg06625916",0.002
"cg06635240",0.002
"cg06648234",0.002
"cg06664423",0.002
"cg06668176",0.002
"cg06701191",0.002
"cg06705167",0.002
"cg06771786",0.002
"cg06772067",0.002
"cg06816154",0.002
"cg06831164",0.002
"cg06891491",0.002
"cg06908232",0.002
"cg06925836",0.002
"cg06949232",0.002
"cg06956608",0.002
"cg06959635",0.002
"cg07034855",0.002
"cg07069575",0.002
"cg07137581",0.002
"cg07151929",0.002
"cg07153867",0.002
"cg07241341",0.002
"cg07258211",0.002
"cg07277490",0.002
"cg07278328",0.002
"cg07293152",0.002
"cg07305211",0.002
"cg07309821",0.002
"cg07352612",0.002
"cg07363659",0.002
"cg07393633",0.002
"cg07419680",0.002
"cg07434817",0.002
"cg07468552",0.002
"cg07559438",0.002
"cg07581973",0.002
"cg07598097",0.002
"cg07608505",0.002
"cg07612210",0.002
"cg07642259",0.002
"cg07660381",0.002
"cg07672452",0.002
"cg07681139",0.002
"cg07681512",0.002
"cg07749147",0.002
"cg07752723",0.002
"cg07753796",0.002
"cg07761179",0.002
"cg07771656",0.002
"cg07780118",0.002
"cg07792002",0.002
"cg07826058",0.002
"cg07842130",0.002
"cg07864948",0.002
"cg07865265",0.002
"cg07897414",0.002
"cg07912337",0.002
"cg07916285",0.002
"cg07929406",0.002
"cg07929447",0.002
"cg07956233",0.002
"cg07987943",0.002
"cg08027679",0.002
"cg08096166",0.002
"cg08103876",0.002
"cg08113756",0.002
"cg08119295",0.002
"cg08126551",0.002
"cg08136916",0.002
"cg08143561",0.002
"cg08144464",0.002
"cg08156775",0.002
"cg08240659",0.002
"cg08254263",0.002
"cg08273465",0.002
"cg08289016",0.002
"cg08289148",0.002
"cg08348715",0.002
"cg08372291",0.002
"cg08437835",0.002
"cg08443036",0.002
"cg08458068",0.002
"cg08479711",0.002
"cg08559914",0.002
"cg08577442",0.002
"cg08580380",0.002
"cg08606318",0.002
"cg08617833",0.002
"cg08622859",0.002
"cg08636503",0.002
"cg08638354",0.002
"cg08661309",0.002
"cg08765836",0.002
"cg08770324",0.002
"cg08773976",0.002
"cg08782336",0.002
"cg08785133",0.002
"cg08794195",0.002
"cg08809018",0.002
"cg08819482",0.002
"cg08846296",0.002
"cg08913774",0.002
"cg08935715",0.002
"cg08945432",0.002
"cg08958384",0.002
"cg08986195",0.002
"cg08991015",0.002
"cg09020104",0.002
"cg09021385",0.002
"cg09039264",0.002
"cg09049751",0.002
"cg09111835",0.002
"cg09121441",0.002
"cg09140084",0.002
"cg09164899",0.002
"cg09167861",0.002
"cg09173322",0.002
"cg09226411",0.002
"cg09227616",0.002
"cg09302010",0.002
"cg09315176",0.002
"cg09324493",0.002
"cg09344532",0.002
"cg09362977",0.002
"cg09411967",0.002
"cg09431385",0.002
"cg09474533",0.002
"cg09474862",0.002
"cg09530095",0.002
"cg09543332",0.002
"cg09588895",0.002
"cg09594760",0.002
"cg09606452",0.002
"cg09610569",0.002
"cg09614506",0.002
"cg09624684",0.002
"cg09665351",0.002
"cg09675743",0.002
"cg09679971",0.002
"cg09738386",0.002
"cg09750469",0.002
"cg09781027",0.002
"cg09781635",0.002
"cg09815801",0.002
"cg09867302",0.002
"cg09935073",0.002
"cg09950034",0.002
"cg09973296",0.002
"cg09990735",0.002
"cg10055173",0.002
"cg10070668",0.002
"cg10102167",0.002
"cg10163050",0.002
"cg10197734",0.002
"cg10268015",0.002
"cg10291990",0.002
"cg10295725",0.002
"cg10305945",0.002
"cg10320265",0.002
"cg10343879",0.002
"cg10374946",0.002
"cg10386339",0.002
"cg10405585",0.002
"cg10426500",0.002
"cg10444261",0.002
"cg10448608",0.002
"cg10474757",0.002
"cg10476451",0.002
"cg10476550",0.002
"cg10477471",0.002
"cg10501443",0.002
"cg10575170",0.002
"cg10577785",0.002
"cg10644638",0.002
"cg10710494",0.002
"cg10739728",0.002
"cg10758970",0.002
"cg10818284",0.002
"cg10831911",0.002
"cg10913227",0.002
"cg10941721",0.002
"cg10944464",0.002
"cg10981178",0.002
"cg10987413",0.002
"cg10987536",0.002
"cg10991108",0.002
"cg11037627",0.002
"cg11038620",0.002
"cg11075988",0.002
"cg11079517",0.002
"cg11082630",0.002
"cg11107468",0.002
"cg11118624",0.002
"cg11152528",0.002
"cg11166197",0.002
"cg11186522",0.002
"cg11189761",0.002
"cg11212729",0.002
"cg11230581",0.002
"cg11244095",0.002
"cg11276914",0.002
"cg11277540",0.002
"cg11286196",0.002
"cg11305349",0.002
"cg11305382",0.002
"cg11313517",0.002
"cg11322877",0.002
"cg11355730",0.002
"cg11368821",0.002
"cg11390763",0.002
"cg11441847",0.002
"cg11447132",0.002
"cg11550332",0.002
"cg11614809",0.002
"cg11658867",0.002
"cg11667509",0.002
"cg11670092",0.002
"cg11708328",0.002
"cg11717280",0.002
"cg11767185",0.002
"cg11773570",0.002
"cg11813355",0.002
"cg11861581",0.002
"cg11873907",0.002
"cg11901680",0.002
"cg11933743",0.002
"cg11976976",0.002
"cg11985595",0.002
"cg12050949",0.002
"cg12064531",0.002
"cg12124912",0.002
"cg12155199",0.002
"cg12166599",0.002
"cg12187392",0.002
"cg12204805",0.002
"cg12205721",0.002
"cg12234922",0.002
"cg12275422",0.002
"cg12284142",0.002
"cg12291192",0.002
"cg12361446",0.002
"cg12449211",0.002
"cg12504524",0.002
"cg12506468",0.002
"cg12523974",0.002
"cg12527112",0.002
"cg12528504",0.002
"cg12595941",0.002
"cg12625872",0.002
"cg12709830",0.002
"cg12713960",0.002
"cg12763614",0.002
"cg12837568",0.002
"cg12856112",0.002
"cg12871214",0.002
"cg12894338",0.002
"cg12899998",0.002
"cg12940781",0.002
"cg12964159",0.002
"cg12966452",0.002
"cg12967624",0.002
"cg13049326",0.002
"cg13062967",0.002
"cg13120260",0.002
"cg13122496",0.002
"cg13189687",0.002
"cg13190238",0.002
"cg13191396",0.002
"cg13201322",0.002
"cg13204040",0.002
"cg13217313",0.002
"cg13225177",0.002
"cg13246025",0.002
"cg13257015",0.002
"cg13267043",0.002
"cg13269397",0.002
"cg13278829",0.002
"cg13353338",0.002
"cg13368805",0.002
"cg13371527",0.002
"cg13372830",0.002
"cg13397331",0.002
"cg13421841",0.002
"cg13431120",0.002
"cg13444812",0.002
"cg13459056",0.002
"cg13489054",0.002
"cg13536141",0.002
"cg13549303",0.002
"cg13620040",0.002
"cg13630714",0.002
"cg13666323",0.002
"cg13671776",0.002
"cg13682241",0.002
"cg13715222",0.002
"cg13720566",0.002
"cg13726724",0.002
"cg13748267",0.002
"cg13765236",0.002
"cg13806616",0.002
"cg13866137",0.002
"cg13872501",0.002
"cg13949166",0.002
"cg13964259",0.002
"cg13980651",0.002
"cg13987815",0.002
"cg14021285",0.002
"cg14055802",0.002
"cg14084176",0.002
"cg14119033",0.002
"cg14176959",0.002
"cg14186071",0.002
"cg14230882",0.002
"cg14258548",0.002
"cg14272882",0.002
"cg14295696",0.002
"cg14321399",0.002
"cg14347841",0.002
"cg14356114",0.002
"cg14397289",0.002
"cg14411583",0.002
"cg14453693",0.002
"cg14538442",0.002
"cg14541939",0.002
"cg14641027",0.002
"cg14723177",0.002
"cg14731765",0.002
"cg14737574",0.002
"cg14745925",0.002
"cg14787939",0.002
"cg14806855",0.002
"cg14824933",0.002
"cg14831390",0.002
"cg14848318",0.002
"cg14862271",0.002
"cg14863124",0.002
"cg14917584",0.002
"cg14955745",0.002
"cg15048051",0.002
"cg15075851",0.002
"cg15106172",0.002
"cg15127253",0.002
"cg15165221",0.002
"cg15169914",0.002
"cg15200096",0.002
"cg15214468",0.002
"cg15217778",0.002
"cg15241084",0.002
"cg15248636",0.002
"cg15308487",0.002
"cg15355500",0.002
"cg15368827",0.002
"cg15380873",0.002
"cg15395087",0.002
"cg15454483",0.002
"cg15474769",0.002
"cg15499144",0.002
"cg15529512",0.002
"cg15555926",0.002
"cg15559823",0.002
"cg15602735",0.002
"cg15613687",0.002
"cg15632976",0.002
"cg15698953",0.002
"cg15720064",0.002
"cg15738293",0.002
"cg15756815",0.002
"cg15788839",0.002
"cg15792220",0.002
"cg15793196",0.002
"cg15819935",0.002
"cg15827126",0.002
"cg15845873",0.002
"cg15851537",0.002
"cg15879104",0.002
"cg15880010",0.002
"cg15886862",0.002
"cg15895359",0.002
"cg16082125",0.002
"cg16141290",0.002
"cg16145609",0.002
"cg16165006",0.002
"cg16167673",0.002
"cg16200513",0.002
"cg16221895",0.002
"cg16225445",0.002
"cg16243644",0.002
"cg16245086",0.002
"cg16276729",0.002
"cg16282784",0.002
"cg16309606",0.002
"cg16314146",0.002
"cg16323641",0.002
"cg16328412",0.002
"cg16343803",0.002
"cg16345121",0.002
"cg16348674",0.002
"cg16381317",0.002
"cg16409172",0.002
"cg16468913",0.002
"cg16481170",0.002
"cg16503002",0.002
"cg16550399",0.002
"cg16618605",0.002
"cg16713754",0.002
"cg16716680",0.002
"cg16722818",0.002
"cg16726201",0.002
"cg16746961",0.002
"cg16770948",0.002
"cg16783207",0.002
"cg16796107",0.002
"cg16803185",0.002
"cg16833254",0.002
"cg16894964",0.002
"cg16916745",0.002
"cg16973002",0.002
"cg16989764",0.002
"cg17028443",0.002
"cg17058724",0.002
"cg17079056",0.002
"cg17086542",0.002
"cg17090475",0.002
"cg17090563",0.002
"cg17106690",0.002
"cg17108355",0.002
"cg17120952",0.002
"cg17122979",0.002
"cg17123338",0.002
"cg17128240",0.002
"cg17233634",0.002
"cg17262897",0.002
"cg17330459",0.002
"cg17332053",0.002
"cg17376045",0.002
"cg17388110",0.002
"cg17439480",0.002
"cg17451789",0.002
"cg17460223",0.002
"cg17464366",0.002
"cg17478031",0.002
"cg17497015",0.002
"cg17509494",0.002
"cg17523840",0.002
"cg17531456",0.002
"cg17533951",0.002
"cg17582546",0.002
"cg17587039",0.002
"cg17604239",0.002
"cg17636339",0.002
"cg17659886",0.002
"cg17683157",0.002
"cg17700136",0.002
"cg17700139",0.002
"cg17705081",0.002
"cg17756709",0.002
"cg17818432",0.002
"cg17822352",0.002
"cg17933493",0.002
"cg17961384",0.002
"cg17970282",0.002
"cg17996267",0.002
"cg18009325",0.002
"cg18030003",0.002
"cg18124706",0.002
"cg18138606",0.002
"cg18161489",0.002
"cg18171071",0.002
"cg18246024",0.002
"cg18259620",0.002
"cg18299140",0.002
"cg18307604",0.002
"cg18439080",0.002
"cg18440824",0.002
"cg18449462",0.002
"cg18626978",0.002
"cg18636716",0.002
"cg18701656",0.002
"cg18717447",0.002
"cg18721398",0.002
"cg18747090",0.002
"cg18764240",0.002
"cg18827179",0.002
"cg18875207",0.002
"cg18884384",0.002
"cg19039586",0.002
"cg19041137",0.002
"cg19053226",0.002
"cg19068385",0.002
"cg19085757",0.002
"cg19097087",0.002
"cg19155032",0.002
"cg19210487",0.002
"cg19218081",0.002
"cg19244546",0.002
"cg19270967",0.002
"cg19334385",0.002
"cg19407886",0.002
"cg19422657",0.002
"cg19434750",0.002
"cg19441529",0.002
"cg19458659",0.002
"cg19459263",0.002
"cg19533991",0.002
"cg19541233",0.002
"cg19583111",0.002
"cg19586382",0.002
"cg19648835",0.002
"cg19759972",0.002
"cg19810816",0.002
"cg19854468",0.002
"cg19907419",0.002
"cg19930575",0.002
"cg19963106",0.002
"cg19963797",0.002
"cg20088404",0.002
"cg20116011",0.002
"cg20137045",0.002
"cg20160079",0.002
"cg20166862",0.002
"cg20202246",0.002
"cg20241508",0.002
"cg20262120",0.002
"cg20268670",0.002
"cg20333412",0.002
"cg20338399",0.002
"cg20409932",0.002
"cg20442640",0.002
"cg20450662",0.002
"cg20460541",0.002
"cg20469935",0.002
"cg20551211",0.002
"cg20578501",0.002
"cg20653018",0.002
"cg20670088",0.002
"cg20679578",0.002
"cg20731167",0.002
"cg20762177",0.002
"cg20763943",0.002
"cg20789642",0.002
"cg20842729",0.002
"cg20846275",0.002
"cg20860481",0.002
"cg20878850",0.002
"cg20948343",0.002
"cg20983329",0.002
"cg21016188",0.002
"cg21025317",0.002
"cg21047192",0.002
"cg21073410",0.002
"cg21109542",0.002
"cg21114303",0.002
"cg21139772",0.002
"cg21201934",0.002
"cg21311761",0.002
"cg21321661",0.002
"cg21329160",0.002
"cg21338070",0.002
"cg21360472",0.002
"cg21393171",0.002
"cg21409787",0.002
"cg21411291",0.002
"cg21452746",0.002
"cg21547183",0.002
"cg21606887",0.002
"cg21627809",0.002
"cg21660252",0.002
"cg21699341",0.002
"cg21738316",0.002
"cg21798601",0.002
"cg21814740",0.002
"cg21887683",0.002
"cg21896089",0.002
"cg21899276",0.002
"cg21902627",0.002
"cg21960840",0.002
"cg21988739",0.002
"cg22069441",0.002
"cg22086445",0.002
"cg22148243",0.002
"cg22238863",0.002
"cg22252245",0.002
"cg22262544",0.002
"cg22306749",0.002
"cg22332233",0.002
"cg22335399",0.002
"cg22379359",0.002
"cg22385694",0.002
"cg22416416",0.002
"cg22456429",0.002
"cg22522913",0.002
"cg22538942",0.002
"cg22604777",0.002
"cg22612743",0.002
"cg22615115",0.002
"cg22628699",0.002
"cg22669937",0.002
"cg22672857",0.002
"cg22682876",0.002
"cg22829451",0.002
"cg22844499",0.002
"cg22844669",0.002
"cg22850802",0.002
"cg22876425",0.002
"cg22905505",0.002
"cg22914294",0.002
"cg22951728",0.002
"cg22972444",0.002
"cg22982510",0.002
"cg23040979",0.002
"cg23054861",0.002
"cg23069744",0.002
"cg23161282",0.002
"cg23214992",0.002
"cg23242236",0.002
"cg23245497",0.002
"cg23362763",0.002
"cg23404612",0.002
"cg23432159",0.002
"cg23453784",0.002
"cg23530509",0.002
"cg23570034",0.002
"cg23583446",0.002
"cg23617392",0.002
"cg23674809",0.002
"cg23675214",0.002
"cg23718674",0.002
"cg23742816",0.002
"cg23783361",0.002
"cg23860088",0.002
"cg23869632",0.002
"cg23892349",0.002
"cg23898213",0.002
"cg23960866",0.002
"cg23963194",0.002
"cg24041151",0.002
"cg24064464",0.002
"cg24123780",0.002
"cg24152857",0.002
"cg24156746",0.002
"cg24177824",0.002
"cg24366764",0.002
"cg24381372",0.002
"cg24395855",0.002
"cg24411090",0.002
"cg24422680",0.002
"cg24427781",0.002
"cg24455325",0.002
"cg24474672",0.002
"cg24507210",0.002
"cg24533311",0.002
"cg24552876",0.002
"cg24597862",0.002
"cg24602572",0.002
"cg24616736",0.002
"cg24667168",0.002
"cg24700763",0.002
"cg24809557",0.002
"cg24838201",0.002
"cg24882981",0.002
"cg24888621",0.002
"cg24911781",0.002
"cg24931094",0.002
"cg25053301",0.002
"cg25056129",0.002
"cg25078813",0.002
"cg25105204",0.002
"cg25109234",0.002
"cg25161900",0.002
"cg25179313",0.002
"cg25200340",0.002
"cg25231904",0.002
"cg25275876",0.002
"cg25415674",0.002
"cg25425147",0.002
"cg25442707",0.002
"cg25462798",0.002
"cg25497053",0.002
"cg25499687",0.002
"cg25557806",0.002
"cg25606376",0.002
"cg25685838",0.002
"cg25695029",0.002
"cg25701856",0.002
"cg25711407",0.002
"cg25896901",0.002
"cg25987804",0.002
"cg25999375",0.002
"cg26011713",0.002
"cg26011743",0.002
"cg26129200",0.002
"cg26214064",0.002
"cg26271632",0.002
"cg26289980",0.002
"cg26310256",0.002
"cg26321804",0.002
"cg26328611",0.002
"cg26335568",0.002
"cg26341773",0.002
"cg26366521",0.002
"cg26367537",0.002
"cg26375010",0.002
"cg26409552",0.002
"cg26414720",0.002
"cg26451817",0.002
"cg26460199",0.002
"cg26534283",0.002
"cg26592873",0.002
"cg26602702",0.002
"cg26655138",0.002
"cg26791231",0.002
"cg26894017",0.002
"cg26907889",0.002
"cg26924445",0.002
"cg26950467",0.002
"cg27038917",0.002
"cg27042767",0.002
"cg27060653",0.002
"cg27062326",0.002
"cg27074040",0.002
"cg27083627",0.002
"cg27085061",0.002
"cg27124847",0.002
"cg27192418",0.002
"cg27207144",0.002
"cg27232233",0.002
"cg27248583",0.002
"cg27253485",0.002
"cg27262852",0.002
"cg27286863",0.002
"cg27301033",0.002
"cg27312241",0.002
"cg27328073",0.002
"cg27389648",0.002
"cg27425779",0.002
"cg27450030",0.002
"cg27457717",0.002
"cg27474053",0.002
"cg27485287",0.002
"cg27502296",0.002
"cg27519679",0.002
"cg27554875",0.002
"cg27563000",0.002
"cg27610133",0.002
"ch.X.34090944F",0.002
"ch.X.714485F",0.002
"ch.X.747556F",0.002
"cg00023415",0.001
"cg00039328",0.001
"cg00042902",0.001
"cg00045034",0.001
"cg00070205",0.001
"cg00079479",0.001
"cg00108737",0.001
"cg00116765",0.001
"cg00117066",0.001
"cg00124708",0.001
"cg00130498",0.001
"cg00140927",0.001
"cg00142060",0.001
"cg00142683",0.001
"cg00187672",0.001
"cg00191052",0.001
"cg00192946",0.001
"cg00199222",0.001
"cg00206332",0.001
"cg00207916",0.001
"cg00224026",0.001
"cg00228113",0.001
"cg00230685",0.001
"cg00240631",0.001
"cg00241296",0.001
"cg00245720",0.001
"cg00251116",0.001
"cg00261039",0.001
"cg00264378",0.001
"cg00265812",0.001
"cg00266323",0.001
"cg00296535",0.001
"cg00325499",0.001
"cg00343954",0.001
"cg00349460",0.001
"cg00357292",0.001
"cg00361164",0.001
"cg00362113",0.001
"cg00373080",0.001
"cg00374088",0.001
"cg00374232",0.001
"cg00380985",0.001
"cg00389253",0.001
"cg00389276",0.001
"cg00391044",0.001
"cg00400999",0.001
"cg00403724",0.001
"cg00409000",0.001
"cg00420018",0.001
"cg00426120",0.001
"cg00428012",0.001
"cg00431289",0.001
"cg00431510",0.001
"cg00438499",0.001
"cg00457389",0.001
"cg00497084",0.001
"cg00506950",0.001
"cg00519399",0.001
"cg00524680",0.001
"cg00536175",0.001
"cg00551957",0.001
"cg00554969",0.001
"cg00571700",0.001
"cg00595697",0.001
"cg00607036",0.001
"cg00609295",0.001
"cg00632374",0.001
"cg00646140",0.001
"cg00662503",0.001
"cg00671229",0.001
"cg00690049",0.001
"cg00695046",0.001
"cg00695378",0.001
"cg00722368",0.001
"cg00727483",0.001
"cg00738702",0.001
"cg00742150",0.001
"cg00752874",0.001
"cg00765686",0.001
"cg00769064",0.001
"cg00779763",0.001
"cg00781047",0.001
"cg00815358",0.001
"cg00862028",0.001
"cg00877056",0.001
"cg00877511",0.001
"cg00878023",0.001
"cg00881203",0.001
"cg00881557",0.001
"cg00883501",0.001
"cg00898159",0.001
"cg00899746",0.001
"cg00901375",0.001
"cg00909233",0.001
"cg00911398",0.001
"cg00911962",0.001
"cg00912374",0.001
"cg00913442",0.001
"cg00920314",0.001
"cg00926894",0.001
"cg00928753",0.001
"cg00936342",0.001
"cg00940232",0.001
"cg00948677",0.001
"cg00963467",0.001
"cg00967529",0.001
"cg01004805",0.001
"cg01010618",0.001
"cg01014965",0.001
"cg01037726",0.001
"cg01039990",0.001
"cg01041534",0.001
"cg01046746",0.001
"cg01051204",0.001
"cg01057225",0.001
"cg01057599",0.001
"cg01067505",0.001
"cg01073976",0.001
"cg01077597",0.001
"cg01079126",0.001
"cg01086868",0.001
"cg01112624",0.001
"cg01112930",0.001
"cg01115636",0.001
"cg01123607",0.001
"cg01135626",0.001
"cg01142317",0.001
"cg01143896",0.001
"cg01145939",0.001
"cg01172484",0.001
"cg01173474",0.001
"cg01177664",0.001
"cg01177739",0.001
"cg01183215",0.001
"cg01202451",0.001
"cg01205689",0.001
"cg01212429",0.001
"cg01221053",0.001
"cg01231576",0.001
"cg01239826",0.001
"cg01241836",0.001
"cg01244877",0.001
"cg01282374",0.001
"cg01282661",0.001
"cg01293271",0.001
"cg01306265",0.001
"cg01312543",0.001
"cg01318188",0.001
"cg01325935",0.001
"cg01348942",0.001
"cg01353903",0.001
"cg01355242",0.001
"cg01366378",0.001
"cg01384686",0.001
"cg01399914",0.001
"cg01404988",0.001
"cg01406652",0.001
"cg01409204",0.001
"cg01415112",0.001
"cg01415308",0.001
"cg01420306",0.001
"cg01462040",0.001
"cg01466089",0.001
"cg01472347",0.001
"cg01480550",0.001
"cg01514943",0.001
"cg01519985",0.001
"cg01529542",0.001
"cg01537968",0.001
"cg01558501",0.001
"cg01559800",0.001
"cg01563671",0.001
"cg01564693",0.001
"cg01566720",0.001
"cg01567000",0.001
"cg01607721",0.001
"cg01609611",0.001
"cg01621839",0.001
"cg01627510",0.001
"cg01640808",0.001
"cg01661890",0.001
"cg01676224",0.001
"cg01695260",0.001
"cg01710180",0.001
"cg01716666",0.001
"cg01717812",0.001
"cg01729475",0.001
"cg01737010",0.001
"cg01742164",0.001
"cg01742836",0.001
"cg01745607",0.001
"cg01755617",0.001
"cg01758840",0.001
"cg01792733",0.001
"cg01806419",0.001
"cg01813276",0.001
"cg01817069",0.001
"cg01817230",0.001
"cg01819787",0.001
"cg01825872",0.001
"cg01828474",0.001
"cg01845432",0.001
"cg01854931",0.001
"cg01855997",0.001
"cg01857253",0.001
"cg01857344",0.001
"cg01870039",0.001
"cg01879371",0.001
"cg01882566",0.001
"cg01887353",0.001
"cg01916066",0.001
"cg01959381",0.001
"cg01971322",0.001
"cg01980778",0.001
"cg01990854",0.001
"cg01996723",0.001
"cg01996818",0.001
"cg01999212",0.001
"cg02001584",0.001
"cg02007259",0.001
"cg02014779",0.001
"cg02020742",0.001
"cg02024438",0.001
"cg02046996",0.001
"cg02079156",0.001
"cg02082650",0.001
"cg02094267",0.001
"cg02113109",0.001
"cg02121672",0.001
"cg02148711",0.001
"cg02150469",0.001
"cg02151408",0.001
"cg02155838",0.001
"cg02167456",0.001
"cg02177607",0.001
"cg02193580",0.001
"cg02193700",0.001
"cg02229344",0.001
"cg02231144",0.001
"cg02232536",0.001
"cg02232922",0.001
"cg02233493",0.001
"cg02235194",0.001
"cg02236222",0.001
"cg02273788",0.001
"cg02279124",0.001
"cg02281444",0.001
"cg02283106",0.001
"cg02283535",0.001
"cg02291208",0.001
"cg02319637",0.001
"cg02330362",0.001
"cg02345565",0.001
"cg02349523",0.001
"cg02367782",0.001
"cg02413104",0.001
"cg02437314",0.001
"cg02437907",0.001
"cg02438576",0.001
"cg02447370",0.001
"cg02451213",0.001
"cg02454298",0.001
"cg02469604",0.001
"cg02490931",0.001
"cg02492445",0.001
"cg02495057",0.001
"cg02506527",0.001
"cg02512611",0.001
"cg02520942",0.001
"cg02540440",0.001
"cg02546561",0.001
"cg02579620",0.001
"cg02581727",0.001
"cg02585188",0.001
"cg02604836",0.001
"cg02611122",0.001
"cg02625237",0.001
"cg02637608",0.001
"cg02637652",0.001
"cg02645343",0.001
"cg02667496",0.001
"cg02682989",0.001
"cg02708724",0.001
"cg02712399",0.001
"cg02725692",0.001
"cg02727334",0.001
"cg02732801",0.001
"cg02734755",0.001
"cg02737802",0.001
"cg02741829",0.001
"cg02742139",0.001
"cg02772823",0.001
"cg02773050",0.001
"cg02775175",0.001
"cg02784144",0.001
"cg02799972",0.001
"cg02805922",0.001
"cg02812399",0.001
"cg02817683",0.001
"cg02824987",0.001
"cg02830744",0.001
"cg02830865",0.001
"cg02835735",0.001
"cg02848628",0.001
"cg02873741",0.001
"cg02883846",0.001
"cg02896496",0.001
"cg02915422",0.001
"cg02921294",0.001
"cg02939216",0.001
"cg02940221",0.001
"cg02949655",0.001
